"ID","Title","Created By","Created On","Estimate","Expected Result","Forecast","Goals","Mission","Preconditions","Priority","References","Section","Section Depth","Section Description","Section Hierarchy","Steps","Steps","Steps (Expected Result)","Steps (Step)","Suite","Suite ID","Template","Type","Updated By","Updated On"
"C4419","Юзкейс 1. Заказ напитков","na.erofeeva@mail.ru","12/4/2022 4:21 PM","","","","","","Далее в графе ""Preconditions"" будут в том числе тестовые данные - информация о том, какие напитки, объемы и купюры нужно выбрать и какие данные ввести.

Главный экран приложения ""Автомат с напитками""

![](index.php?/attachments/get/4085)","Medium","","Erofeeva","1","","Автомат с напитками > Erofeeva","1. Выбрать нужный напиток, щелкнув по нему левой кнопкой мыши

![](index.php?/attachments/get/4084)


Expected Result:
Напиток выбранного объема появится в очереди

![](index.php?/attachments/get/4086)



2. .1  Если нужно выбрать напиток на розлив, щелкнуть правой кнопкой мыши на стрелочку вниз у надписи ""купить на розлив"" под нужным напитком.

![](index.php?/attachments/get/4059)

.2  В появившейся форме передвигать бегунок до выбора нужного объема или щелкнуть в нужном месте на линии

![](index.php?/attachments/get/4060)

.3  Нажать ""готово""

![](index.php?/attachments/get/4061)
Expected Result:
Напиток выбранного объема появится в очереди

![](index.php?/attachments/get/4063)

3. Если необходимо добавить в очередь несколько напитков, повторить шаг 1 и/или 2 нужное количество раз (до пяти)

Если необходимо добавить в очередь больше пяти напитков, нужно совершить заказ несколько раз
Expected Result:
Нужное количество напитков (до пяти) нужного объема добавится в очередь

![](index.php?/attachments/get/4064)

4. Нажать ""перейти к оплате""

![](index.php?/attachments/get/4065)

Expected Result:
Программа перейдёт на второй экран

![](index.php?/attachments/get/4066)

5. .1 Если у покупателя есть промокод, его нужно ввести в поле ввода справа от надписи ""Промокод:""

![](index.php?/attachments/get/4087)

.2 Затем нажать ""Пересчитать""

![](index.php?/attachments/get/4088)
Expected Result:
Сумма заказа пересчитается в соответствии со скидкой, которую дает промокод

![](index.php?/attachments/get/4089)

6. Ввести купюры в поле ввода купюр, щелкнув по нужным левой кнопкой мыши

![](index.php?/attachments/get/4069)

![](index.php?/attachments/get/4072)
Expected Result:
Номинал выбранных купюр суммируется в поле ""уже внесли"", вместо надписи ""Еще нужно [сумма] Р"", появится надпись ""МОЖНО ОПЛАТИТЬ!""

![](index.php?/attachments/get/4071)

![](index.php?/attachments/get/4074)
7. Когда нужная сумма наберется, нажать ""ОПЛАТИТЬ""

![](index.php?/attachments/get/4075)

Expected Result:
Программа перейдёт на третий экран

![](index.php?/attachments/get/4076)","","1. Напиток выбранного объема появится в очереди

![](index.php?/attachments/get/4086)



2. Напиток выбранного объема появится в очереди

![](index.php?/attachments/get/4063)

3. Нужное количество напитков (до пяти) нужного объема добавится в очередь

![](index.php?/attachments/get/4064)

4. Программа перейдёт на второй экран

![](index.php?/attachments/get/4066)

5. Сумма заказа пересчитается в соответствии со скидкой, которую дает промокод

![](index.php?/attachments/get/4089)

6. Номинал выбранных купюр суммируется в поле ""уже внесли"", вместо надписи ""Еще нужно [сумма] Р"", появится надпись ""МОЖНО ОПЛАТИТЬ!""

![](index.php?/attachments/get/4071)

![](index.php?/attachments/get/4074)
7. Программа перейдёт на третий экран

![](index.php?/attachments/get/4076)","1. Выбрать нужный напиток, щелкнув по нему левой кнопкой мыши

![](index.php?/attachments/get/4084)


2. .1  Если нужно выбрать напиток на розлив, щелкнуть правой кнопкой мыши на стрелочку вниз у надписи ""купить на розлив"" под нужным напитком.

![](index.php?/attachments/get/4059)

.2  В появившейся форме передвигать бегунок до выбора нужного объема или щелкнуть в нужном месте на линии

![](index.php?/attachments/get/4060)

.3  Нажать ""готово""

![](index.php?/attachments/get/4061)
3. Если необходимо добавить в очередь несколько напитков, повторить шаг 1 и/или 2 нужное количество раз (до пяти)

Если необходимо добавить в очередь больше пяти напитков, нужно совершить заказ несколько раз
4. Нажать ""перейти к оплате""

![](index.php?/attachments/get/4065)

5. .1 Если у покупателя есть промокод, его нужно ввести в поле ввода справа от надписи ""Промокод:""

![](index.php?/attachments/get/4087)

.2 Затем нажать ""Пересчитать""

![](index.php?/attachments/get/4088)
6. Ввести купюры в поле ввода купюр, щелкнув по нужным левой кнопкой мыши

![](index.php?/attachments/get/4069)

![](index.php?/attachments/get/4072)
7. Когда нужная сумма наберется, нажать ""ОПЛАТИТЬ""

![](index.php?/attachments/get/4075)","Master","S30","Test Case (Steps)","Other","na.erofeeva@mail.ru","12/7/2022 5:16 PM"
"C4421","Юзкейс 2. Повторный заказ напитков","na.erofeeva@mail.ru","12/4/2022 5:33 PM","","","","","","Выполнить ""Юзкейс 1. Заказ напитков""","Medium","","Erofeeva","1","","Автомат с напитками > Erofeeva","1. Нажать ""ЗАКАЗАТЬ ЕЩЁ""

![](index.php?/attachments/get/4077)

Expected Result:
Программа перейдёт на первый экран

![](index.php?/attachments/get/4078)","","1. Программа перейдёт на первый экран

![](index.php?/attachments/get/4078)","1. Нажать ""ЗАКАЗАТЬ ЕЩЁ""

![](index.php?/attachments/get/4077)","Master","S30","Test Case (Steps)","Other","na.erofeeva@mail.ru","12/4/2022 5:44 PM"
"C4422","Юзкейс 3. Удаление из очереди.","na.erofeeva@mail.ru","12/4/2022 5:38 PM","","","","","","Выполнить шаги 1-3 юзкейса ""Юзкейс 1. Заказ напитков""","Medium","","Erofeeva","1","","Автомат с напитками > Erofeeva","1. Удалить из очереди необходимое количество позиций, нажав на крестик справа у нужной позиции левой кнопки мыши.

![](index.php?/attachments/get/4079)

Expected Result:
Нужная позиция удалится из очереди","","1. Нужная позиция удалится из очереди","1. Удалить из очереди необходимое количество позиций, нажав на крестик справа у нужной позиции левой кнопки мыши.

![](index.php?/attachments/get/4079)","Master","S30","Test Case (Steps)","Other","na.erofeeva@mail.ru","12/4/2022 5:43 PM"
"C4423","Юзкейс 4. Очистка поля внесенных купюр","na.erofeeva@mail.ru","12/4/2022 5:42 PM","","","","","","Выполнить шаги 1-5 юзкейса ""Юзкейс 1. Заказ напитков""","Medium","","Erofeeva","1","","Автомат с напитками > Erofeeva","1. Нажать на крестик справа от поля внесения купюр

![](index.php?/attachments/get/4080)

Expected Result:
Поле вернется в изначальное состояние - на 0 Р

![](index.php?/attachments/get/4081)","","1. Поле вернется в изначальное состояние - на 0 Р

![](index.php?/attachments/get/4081)","1. Нажать на крестик справа от поля внесения купюр

![](index.php?/attachments/get/4080)","Master","S30","Test Case (Steps)","Other","na.erofeeva@mail.ru","12/4/2022 5:43 PM"
"C4264","Выбор объема у кофе отсутствует","na.erofeeva@mail.ru","12/3/2022 12:08 PM","","","","","","","High","","Выбор разных объемов","2","","Автомат с напитками > Erofeeva > Выбор разных объемов","1. Посмотреть на поле выбора объема кофе
Expected Result:
Там будет только вариант 0,2 л","","1. Там будет только вариант 0,2 л","1. Посмотреть на поле выбора объема кофе","Master","S30","Test Case (Steps)","Functional","na.erofeeva@mail.ru","12/8/2022 4:59 PM"
"C4450","Выбор объема 0,2 напитка кофе","na.erofeeva@mail.ru","12/8/2022 5:01 PM","","","","","","Тестовые данные:

- Напиток: кофе
- Объем: 0,2 л","Medium","","Выбор разных объемов","2","","Автомат с напитками > Erofeeva > Выбор разных объемов","1. Выполнить шаг 1 юзкейса ""Юзкейс 1. Заказ напитка""
Expected Result:
Напиток выбранного объема появится в очереди","","1. Напиток выбранного объема появится в очереди","1. Выполнить шаг 1 юзкейса ""Юзкейс 1. Заказ напитка""","Master","S30","Test Case (Steps)","Other","na.erofeeva@mail.ru","12/8/2022 5:01 PM"
"C4265","Выбор объема 0,2 напитка nuka cola","na.erofeeva@mail.ru","12/3/2022 12:11 PM","","","","","","Тестовые данные:

- Напиток: nuka cola
- Объем: 0,2 л","Medium","","Выбор разных объемов","2","","Автомат с напитками > Erofeeva > Выбор разных объемов","1. Выполнить шаг 1 юзкейса ""Юзкейс 1. Заказ напитка""
Expected Result:
Напиток выбранного объема появится в очереди","","1. Напиток выбранного объема появится в очереди","1. Выполнить шаг 1 юзкейса ""Юзкейс 1. Заказ напитка""","Master","S30","Test Case (Steps)","Other","na.erofeeva@mail.ru","12/4/2022 6:23 PM"
"C4266","Выбор объема 0,5 напитка nuka cola","na.erofeeva@mail.ru","12/3/2022 12:13 PM","","","","","","Тестовые данные:

- Напиток: nuka cola
- Объем: 0,5 л","Medium","","Выбор разных объемов","2","","Автомат с напитками > Erofeeva > Выбор разных объемов","1. Выполнить шаг 1 юзкейса ""Юзкейс 1. Заказ напитка""
Expected Result:
Напиток выбранного объема появится в очереди","","1. Напиток выбранного объема появится в очереди","1. Выполнить шаг 1 юзкейса ""Юзкейс 1. Заказ напитка""","Master","S30","Test Case (Steps)","Other","na.erofeeva@mail.ru","12/4/2022 6:25 PM"
"C4267","Выбор объема 1,0 напитка nuka cola","na.erofeeva@mail.ru","12/3/2022 12:14 PM","","","","","","Тестовые данные:

- Напиток: nuka cola
- Объем: 1,0 л","Medium","","Выбор разных объемов","2","","Автомат с напитками > Erofeeva > Выбор разных объемов","1. Выполнить шаг 1 юзкейса ""Юзкейс 1. Заказ напитка""
Expected Result:
Напиток выбранного объема появится в очереди","","1. Напиток выбранного объема появится в очереди","1. Выполнить шаг 1 юзкейса ""Юзкейс 1. Заказ напитка""","Master","S30","Test Case (Steps)","Other","na.erofeeva@mail.ru","12/4/2022 6:25 PM"
"C4268","Выбор объема на розлив напитка nuka cola","na.erofeeva@mail.ru","12/3/2022 12:16 PM","","","","","","Тестовые данные:

- Напиток: nuka cola
- Объем: произвольный","Medium","","Выбор разных объемов","2","","Автомат с напитками > Erofeeva > Выбор разных объемов","1. Выполнить шаг 1 юзкейса ""Юзкейс 1. Заказ напитка""
Expected Result:
Напиток выбранного объема появится в очереди","","1. Напиток выбранного объема появится в очереди","1. Выполнить шаг 1 юзкейса ""Юзкейс 1. Заказ напитка""","Master","S30","Test Case (Steps)","Other","na.erofeeva@mail.ru","12/4/2022 6:26 PM"
