"ID","Title","Assigned To","Case ID","Comment","Defects","Elapsed","Estimate","Forecast","In Progress","Plan","Plan ID","Preconditions","Priority","References","Run","Run Configuration","Run ID","Section","Section Depth","Section Description","Section Hierarchy","Status","Steps","Steps","Steps","Steps (Actual Result)","Steps (Expected Result)","Steps (Expected Result)","Steps (Status)","Steps (Step)","Steps (Step)","Template","Tested By","Tested On","Type","Version"
"T58533","Юзкейс 1. Копирование","na.erofeeva@mail.ru","C3211","","","","","","","","","- Подготовить тестовые данные и папки
- Тестовыми данными являются файлы, с помощью которых мы будем проверять программу
","Critical","","ErofeevaHardload","","R416","Erofeeva","0","","Erofeeva","Untested","","1. Нажать на кнопку с тремя точками наверху, чтобы добавить тестовые данные

![](index.php?/attachments/get/2389)


Expected Result:
Откроется форма выбора папки

![](index.php?/attachments/get/2496)



2. В форме найти папку, в которой лежат тестовые данные. Нажать левой кнопкой мыши на нужные для тест-кейса тестовые данные, затем нажать кнопку ""Открыть"" или дважды щелкнуть по нужному файлу

![](index.php?/attachments/get/2497)

Повторить шаг несколько раз, если для проведения теста используется несколько тестовых данных
Expected Result:
Тестовые данные добавятся в программу hardload

![](index.php?/attachments/get/2499)




3. Нажать на кнопку с тремя точками снизу, чтобы выбрать папку, в которую нужно скопировать тестовые данные

![](index.php?/attachments/get/2500)

Expected Result:
Откроется форма выбора папки

![](index.php?/attachments/get/2421)

4. В форме найти и выбрать нужную папку, нажать ""OK""

![](index.php?/attachments/get/2501)



Expected Result:
Путь до папки пропишется в программе hardload внизу

![](index.php?/attachments/get/2502)


5. Выбрать тестовые данные внутри программы, нажав на пустой квадратик рядом со строкой с адресом и названием файла тестовых данных
Expected Result:
В квадрате появится галочка

![](index.php?/attachments/get/2504)

6. Нажать на кнопку начала копирования (зеленый треугольник)

![](index.php?/attachments/get/2505)


Expected Result:
Тестовые данные скопируются в выбранную папку

![](index.php?/attachments/get/2507)

![](index.php?/attachments/get/2506)

![](index.php?/attachments/get/2510)

![](index.php?/attachments/get/2511)","","","","1. Откроется форма выбора папки

![](index.php?/attachments/get/2496)



2. Тестовые данные добавятся в программу hardload

![](index.php?/attachments/get/2499)




3. Откроется форма выбора папки

![](index.php?/attachments/get/2421)

4. Путь до папки пропишется в программе hardload внизу

![](index.php?/attachments/get/2502)


5. В квадрате появится галочка

![](index.php?/attachments/get/2504)

6. Тестовые данные скопируются в выбранную папку

![](index.php?/attachments/get/2507)

![](index.php?/attachments/get/2506)

![](index.php?/attachments/get/2510)

![](index.php?/attachments/get/2511)","","","1. Нажать на кнопку с тремя точками наверху, чтобы добавить тестовые данные

![](index.php?/attachments/get/2389)


2. В форме найти папку, в которой лежат тестовые данные. Нажать левой кнопкой мыши на нужные для тест-кейса тестовые данные, затем нажать кнопку ""Открыть"" или дважды щелкнуть по нужному файлу

![](index.php?/attachments/get/2497)

Повторить шаг несколько раз, если для проведения теста используется несколько тестовых данных
3. Нажать на кнопку с тремя точками снизу, чтобы выбрать папку, в которую нужно скопировать тестовые данные

![](index.php?/attachments/get/2500)

4. В форме найти и выбрать нужную папку, нажать ""OK""

![](index.php?/attachments/get/2501)



5. Выбрать тестовые данные внутри программы, нажав на пустой квадратик рядом со строкой с адресом и названием файла тестовых данных
6. Нажать на кнопку начала копирования (зеленый треугольник)

![](index.php?/attachments/get/2505)","Test Case (Steps)","","","Functional",""
"T58534","Юзкейс 2. Удаление","na.erofeeva@mail.ru","C3226","","","","","","","","","- Подготовить тестовые данные и папки
- Тестовыми данными являются файлы, с помощью которых мы будем проверять программу","High","","ErofeevaHardload","","R416","Erofeeva","0","","Erofeeva","Untested","","1. Выполнить шаги 1-2 юзкейса ""Юзкейс 1. Копирование""
Expected Result:
Файлы добавятся в программу
2. Выбрать тестовые данные внутри программы, нажав на строку с адресом и названием тестовых данных левой кнопкой мыши.

Повторить шаг несколько раз, зажав клавишу Ctrl, если для проведения теста используется несколько тестовых данных

Если для проведения теста используются несколько тестовых данных подряд, нажать на первую нужную строку, зажать Shift и нажать на последнюю нужную строку
Expected Result:
Строка тестовых данных станет синей

![](index.php?/attachments/get/2515)

3. Нажать на кнопку удаления файлов (красный крестик)

![](index.php?/attachments/get/2516)

Expected Result:
Откроется окно с подтверждением действия

![](index.php?/attachments/get/2517)

4. В открывшемся окне с подтверждением действия нажать кнопку ""Да""

![](index.php?/attachments/get/2518)

Expected Result:
Тестовые данные удалятся из программы

![](index.php?/attachments/get/2519)","","","","1. Файлы добавятся в программу
2. Строка тестовых данных станет синей

![](index.php?/attachments/get/2515)

3. Откроется окно с подтверждением действия

![](index.php?/attachments/get/2517)

4. Тестовые данные удалятся из программы

![](index.php?/attachments/get/2519)","","","1. Выполнить шаги 1-2 юзкейса ""Юзкейс 1. Копирование""
2. Выбрать тестовые данные внутри программы, нажав на строку с адресом и названием тестовых данных левой кнопкой мыши.

Повторить шаг несколько раз, зажав клавишу Ctrl, если для проведения теста используется несколько тестовых данных

Если для проведения теста используются несколько тестовых данных подряд, нажать на первую нужную строку, зажать Shift и нажать на последнюю нужную строку
3. Нажать на кнопку удаления файлов (красный крестик)

![](index.php?/attachments/get/2516)

4. В открывшемся окне с подтверждением действия нажать кнопку ""Да""

![](index.php?/attachments/get/2518)","Test Case (Steps)","","","Functional",""
"T58581","Локализация","na.erofeeva@mail.ru","C3250","","","17s","","","","","","","Medium","","ErofeevaHardload","","R416","Нефункциональные тесты","1","","Erofeeva > Нефункциональные тесты","Failed","","1. Открыть программу
Expected Result:
Интерфейс программы и подсказки будут на одном языке","","","","1. Интерфейс программы и подсказки будут на одном языке","","","1. Открыть программу","Test Case (Steps)","na.erofeeva@mail.ru","11/23/2022 5:14 PM","Accessibility",""
"T58582","Наличие возможности перертащить файлы в программу","na.erofeeva@mail.ru","C3402","","","32s","","","","","","- Папка, в которой лежат тестовые данные находится по адресу: C:\Users\a-ero\Desktop\from
- Папка, в которую нужно скопировать тестовые данные находится по адресу: C:\Users\a-ero\Desktop\into

Тестовые данные

Файл:

- ""avi.avi""
- ""docx.docx""
- ""exe.exe""","High","","ErofeevaHardload","","R416","Нефункциональные тесты","1","","Erofeeva > Нефункциональные тесты","Failed","","1. Открыть папку с файлами, выбрать нужные файлы, выделив их левой кнопкой мыши, или нажав на первый нужный файл, зажав Shift и нажав на последний нужный файл или выбрать каждый, зажав клавишу Ctrl
Expected Result:
Выделенные файлы можно будет перетащить в программу, захватив их мышкой","","","","1. Выделенные файлы можно будет перетащить в программу, захватив их мышкой","","","1. Открыть папку с файлами, выбрать нужные файлы, выделив их левой кнопкой мыши, или нажав на первый нужный файл, зажав Shift и нажав на последний нужный файл или выбрать каждый, зажав клавишу Ctrl","Test Case (Steps)","na.erofeeva@mail.ru","11/23/2022 5:16 PM","Accessibility",""
"T58579","Наличие возможности выбора нескольких файлов для добавления в программу","na.erofeeva@mail.ru","C3248","","","62s","","","","","","- Папка, в которой лежат тестовые данные находится по адресу: C:\Users\a-ero\Desktop\from
- Папка, в которую нужно скопировать тестовые данные находится по адресу: C:\Users\a-ero\Desktop\into

Тестовые данные

Файл:

- ""avi.avi""
- ""docx.docx""
- ""exe.exe""","High","","ErofeevaHardload","","R416","Нефункциональные тесты","1","","Erofeeva > Нефункциональные тесты","Failed","","1. Выполнить шаг 1 юзкейса ""Юзкейс 1. Копирование""
Expected Result:
Откроется форма для выбора файла
2. В форме найти папку, в которой лежат тестовые данные. 
Expected Result:
Можно выбрать несколько файлов с помощью клавиши Ctrl, Shift или зажав левую кнопку мыши и протянув ею от первого нужного файла до последнего.","","","","1. Откроется форма для выбора файла
2. Можно выбрать несколько файлов с помощью клавиши Ctrl, Shift или зажав левую кнопку мыши и протянув ею от первого нужного файла до последнего.","","","1. Выполнить шаг 1 юзкейса ""Юзкейс 1. Копирование""
2. В форме найти папку, в которой лежат тестовые данные.","Test Case (Steps)","na.erofeeva@mail.ru","11/23/2022 5:17 PM","Accessibility",""
"T58578","Наличие возможность сразу скопировать файлы, которые добавила в программу","na.erofeeva@mail.ru","C3247","","","17s","","","","","","- Папка, в которой лежат тестовые данные находится по адресу: C:\Users\a-ero\Desktop\from
- Папка, в которую нужно скопировать тестовые данные находится по адресу: C:\Users\a-ero\Desktop\into

Тестовые данные

Файл:

- ""avi.avi""
- ""docx.docx""
- ""exe.exe""","High","","ErofeevaHardload","","R416","Нефункциональные тесты","1","","Erofeeva > Нефункциональные тесты","Failed","","1. Выполнить шаги 1-4 юзкейса ""Юзкейс 1. Копирование""
Expected Result:
Путь до папки пропишется в программе hardload внизу
2. Нажать на кнопку начала копирования (зеленый треугольник)
Expected Result:
Тестовые данные скопируются в выбранную папку","","","","1. Путь до папки пропишется в программе hardload внизу
2. Тестовые данные скопируются в выбранную папку","","","1. Выполнить шаги 1-4 юзкейса ""Юзкейс 1. Копирование""
2. Нажать на кнопку начала копирования (зеленый треугольник)","Test Case (Steps)","na.erofeeva@mail.ru","11/23/2022 5:18 PM","Accessibility",""
"T58580","Наличие возможности выбрать все файлы для копирования","na.erofeeva@mail.ru","C3249","","","","","","","","","- Папка, в которой лежат тестовые данные находится по адресу: C:\Users\a-ero\Desktop\from
- Папка, в которую нужно скопировать тестовые данные находится по адресу: C:\Users\a-ero\Desktop\into

Тестовые данные

Файлы:

- ""avi.avi""
- ""docx.docx""
- ""exe.exe""","High","","ErofeevaHardload","","R416","Нефункциональные тесты","1","","Erofeeva > Нефункциональные тесты","Failed","","1. Выполнить шаги 1-4 юзкейса ""Юзкейс 1. Копирование""
Expected Result:
Путь до папки пропишется в программе hardload внизу
2. Выбрать все тестовые данные внутри программы
Expected Result:
Есть возможность выбрать все файлы с помощью одной кнопки или галочки ""выбрать всё"" или нажав галочку на первом нужном файле, зажав Shift и нажав на галочку на последнем нужном файле","","","","1. Путь до папки пропишется в программе hardload внизу
2. Есть возможность выбрать все файлы с помощью одной кнопки или галочки ""выбрать всё"" или нажав галочку на первом нужном файле, зажав Shift и нажав на галочку на последнем нужном файле","","","1. Выполнить шаги 1-4 юзкейса ""Юзкейс 1. Копирование""
2. Выбрать все тестовые данные внутри программы","Test Case (Steps)","na.erofeeva@mail.ru","11/23/2022 5:18 PM","Accessibility",""
"T58535","Удаление файла","na.erofeeva@mail.ru","C3194","","","","","","","","","Папка, в которой лежат тестовые данные находится по адресу: C:\Users\a-ero\Desktop\from

Тестовые данные

Файл:

- ""jpg.jpg""","High","","ErofeevaHardload","","R416","Позитивные","2","","Erofeeva > Функциональные тесты > Позитивные","Passed","","1. Выполнить ""Юзкейс 2. Удаление""
Expected Result:
Файл удалится из списка в программе","","","","1. Файл удалится из списка в программе","","","1. Выполнить ""Юзкейс 2. Удаление""","Test Case (Steps)","na.erofeeva@mail.ru","11/23/2022 5:20 PM","Functional",""
"T58540","Копирование файла","na.erofeeva@mail.ru","C3213","","","","","","","","","- Папка, в которой лежат тестовые данные находится по адресу: C:\Users\a-ero\Desktop\from
- Папка, в которую нужно скопировать тестовые данные находится по адресу: C:\Users\a-ero\Desktop\into

Убедиться в том, что папка, в которую нужно скопировать тестовые данные, не содержит файлов, которые мы будем использовать в тест-кейсе

Тестовые данные

Файл:

- ""jpg.jpg""","Critical","","ErofeevaHardload","","R416","Позитивные","2","","Erofeeva > Функциональные тесты > Позитивные","Passed","Выполнить ""Юзкейс 1. Копирование""","","","","","","","","","Test Case (Text)","na.erofeeva@mail.ru","11/23/2022 5:21 PM","Functional",""
"T58542","Удаление файла после копирования","na.erofeeva@mail.ru","C3217","","","","","","","","","- Папка, в которой лежат тестовые данные находится по адресу: C:\Users\a-ero\Desktop\from
- Папка, в которую нужно скопировать тестовые данные находится по адресу: C:\Users\a-ero\Desktop\into

Тестовые данные

Файл:

- ""png.png""","High","","ErofeevaHardload","","R416","Позитивные","2","","Erofeeva > Функциональные тесты > Позитивные","Passed","","1. Выполнить ""Юзкейс 1. Копирование""
Expected Result:
Файл скопируется
2. Выполнить шаги 2-3 юзкейса ""Юзкейс 2. Удаление""


Expected Result:
Файл удалится из списка в программе","","","","1. Файл скопируется
2. Файл удалится из списка в программе","","","1. Выполнить ""Юзкейс 1. Копирование""
2. Выполнить шаги 2-3 юзкейса ""Юзкейс 2. Удаление""","Test Case (Steps)","na.erofeeva@mail.ru","11/23/2022 5:21 PM","Functional",""
